代码,名称,样本量,日均成交额,日均涨跌幅
159570,港股通创新药ETF,334,322836602.8320317,0.29551587301587307
516100,金融科技ETF华夏,941,29289637.138888888,0.26313492063492067
588290,科创芯片ETF基金,638,183906167.89285713,0.2415873015873016
513090,香港证券ETF,1264,4263451979.5079365,0.22916666666666666
159922,中证500ETF,2439,428360250.964746,0.22896825396825396
513560,香港科技ETF,566,182799923.99603173,0.21650793650793654
159529,标普消费ETF,321,697833610.5232341,0.17829365079365078
513750,港股非银ETF,373,120664010.25,0.17011904761904764
516770,游戏ETF华泰柏瑞,1036,18503770.281746034,0.1661111111111111
159738,云计算ETF华泰柏瑞,814,11243212.335908731,0.16603174603174603
513190,港股通金融ETF,406,46728136.93253968,0.1574206349206349
518680,金ETF,1182,59453268.73015873,0.14420634920634917
159788,港股通100ETF,796,12106157.225460317,0.13142857142857142
512070,证券保险ETF,2438,221539610.51587301,0.1306746031746032
512820,银行ETF龙头,1587,63608139.12301587,0.12706349206349205
510230,金融ETF,2438,44045759.190476194,0.12361111111111112
159561,德国ETF,266,329388116.29982144,0.12174603174603173
159713,稀土ETF,925,24452856.078968253,0.11801587301587299
513030,德国ETF,2438,591539957.4007937,0.11757936507936508
159612,标普500ETF,742,392144790.91660315,0.11583333333333333
159512,汽车ETF,456,16195411.905805556,0.10988095238095233
513310,中韩半导体ETF,597,666477368.4642857,0.10182539682539683
512560,军工ETF易方达,1908,35332524.321428575,0.09757936507936506
159822,新经济ETF,1125,285439602.1459246,0.086984126984127
159562,黄金股ETF,334,33676183.756678574,0.08503968253968253
159687,亚太精选ETF,588,334666697.4178374,0.0697222222222222
513970,恒生消费ETF,518,84835972.0595238,0.0686111111111111
159513,纳斯达克100指数ETF,453,154818095.53748015,0.06722222222222224
560280,工程机械ETF,393,15144071.753968254,0.062380952380952405
515450,红利低波50ETF,1285,72619125.03571428,0.05678571428571428
513400,道琼斯ETF,325,199624637.1190476,0.04857142857142854
513730,东南亚科技ETF,369,150597037.1468254,0.04714285714285714
513800,日本东证指数ETF,1448,40592371.88095238,0.045555555555555544
515210,钢铁ETF,1282,64373412.583333336,0.035595238095238096
511380,可转债ETF,1257,3108130684.7777777,0.031626984126984135
159698,粮食ETF,438,15097745.621039681,0.027460317460317466
512400,有色金属ETF,1886,176974390.7857143,0.025436507936507927
517090,央企共赢ETF,836,25353314.59126984,0.015595238095238117
511220,城投债ETF,2433,442640291.4166667,0.01150793650793651
515060,房地产ETF基金,1317,36612595.384920634,0.010039682539682545
513080,法国CAC40ETF,1211,463208697.0873016,0.008492063492063493
513290,纳指生物科技ETF,674,98013665.1111111,0.0015079365079364864
159766,旅游ETF,941,118674094.30508333,0.0014285714285714245
513360,教育ETF,966,280751184.734127,-0.006309523809523809
159625,绿色电力ETF,756,15456858.459285714,-0.007976190476190472
159745,建材ETF,966,30416233.72980556,-0.008253968253968255
513350,标普油气ETF,371,232342433.6547619,-0.009603174603174574
561360,石油ETF,392,12430025.595238095,-0.013968253968253961
159980,有色ETF,1324,109247108.7701627,-0.039246031746031765
159985,豆粕ETF,1337,359662070.10896033,-0.04777777777777777
159930,能源ETF,2435,29117625.85511905,-0.06420634920634921
159981,能源化工ETF,1307,44563318.50898016,-0.0882936507936508
