代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh511070,上证公司债ETF,100.744,0.031,0.031,100.74,100.744,100.713,100.714,100.771,100.714,143208743,14427624413
sh511360,短融ETF,111.905,0.015,0.013,111.905,111.906,111.89,111.904,111.907,111.903,126686246,14176741457
sh513120,港股创新药ETF,1.19,-0.036,-2.936,1.189,1.19,1.226,1.228,1.257,1.181,10065417369,12152699560
sh511990,华宝添益ETF,100.008,0.007,0.007,100.008,100.009,100.001,100.006,100.01,100.005,119252830,11926177158
sh511520,政金债券ETF,115.614,0.02,0.017,115.614,115.615,115.594,115.627,115.643,115.589,90893651,10508585397
sh511190,信用债ETF,100.791,0.024,0.024,100.792,100.796,100.767,100.748,100.801,100.748,99192700,9998220007
sh511880,银华日利ETF,100.613,0.014,0.014,100.611,100.612,100.599,100.612,100.616,100.611,98834605,9944074355
sz159395,信用债ETF大成,101.075,0.031,0.031,101.068,101.075,101.044,101.08,101.6,101.05,69439100,7018480961
sh511110,公司债ETF易方达,100.837,0.024,0.024,100.837,100.845,100.813,100.83,100.86,100.801,68750500,6931592786
sh518880,黄金ETF,7.588,0.091,1.214,7.589,7.59,7.497,7.616,7.653,7.57,888062400,6764698782
sh511200,信用债ETF基金,100.984,0.026,0.026,100.985,100.99,100.958,100.959,100.993,100.934,63946470,6456400489
sh511090,30年国债ETF,124.242,0.018,0.014,124.239,124.24,124.224,124.231,124.352,124.14,46699850,5801334491
sz159396,信用债ETF博时,100.941,0.03,0.03,100.941,100.944,100.911,100.95,100.956,100.901,54490592,5499877475
sh513180,恒生科技指数ETF,0.706,-0.019,-2.621,0.706,0.707,0.725,0.716,0.719,0.705,7352307000,5224467607
sh511260,十年国债ETF,136.647,-0.006,-0.004,136.648,136.649,136.653,136.653,136.7,136.59,33883300,4630307352
sz159650,国开ETF,106.806,0.02,0.019,106.806,106.808,106.786,106.787,106.83,106.787,43106263,4603710947
sh511380,可转债ETF,12.148,-0.037,-0.304,12.146,12.147,12.185,12.183,12.188,12.127,367871866,4467978551
sh513130,恒生科技ETF,0.696,-0.018,-2.521,0.695,0.696,0.714,0.706,0.708,0.693,6259122700,4376290916
sz159570,港股通创新药ETF,1.601,-0.048,-2.911,1.601,1.602,1.649,1.65,1.679,1.584,2676504700,4337550487
sh513060,恒生医疗ETF,0.584,-0.014,-2.341,0.584,0.585,0.598,0.597,0.609,0.58,6665314700,3940182743
sh513090,香港证券ETF,1.663,-0.033,-1.946,1.662,1.663,1.696,1.68,1.695,1.656,2286017800,3822320795
sz159397,信用债ETF广发,100.79,0.002,0.002,100.792,100.799,100.788,100.801,100.801,100.763,36559320,3684982993
sz159567,港股创新药ETF,1.585,-0.046,-2.82,1.584,1.585,1.631,1.64,1.662,1.562,2257717000,3612639717
sh511030,公司债ETF,105.956,0.016,0.015,105.955,105.957,105.94,105.94,105.975,105.939,29862680,3164079955
sz159398,信用债ETF天弘,100.897,0.031,0.031,100.896,100.899,100.866,100.9,100.911,100.843,30796800,3107359473
sz159351,A500指数ETF,0.966,-0.006,-0.617,0.965,0.966,0.972,0.969,0.971,0.961,3119824103,3011626525
sh512050,A500ETF基金,0.94,-0.006,-0.634,0.939,0.94,0.946,0.944,0.945,0.936,2998491812,2819822809
sh510300,沪深300ETF,3.98,-0.026,-0.649,3.979,3.98,4.006,3.998,4.002,3.967,698016832,2779843230
sh511010,国债ETF,141.398,0.029,0.021,141.388,141.4,141.369,141.369,141.401,141.36,19204340,2715223508
sz159892,恒生医药ETF,0.757,-0.016,-2.07,0.757,0.758,0.773,0.771,0.79,0.75,3403123006,2604987912
sh588000,科创50ETF,1.022,-0.005,-0.487,1.021,1.022,1.027,1.023,1.028,1.016,2264738115,2312902750
sh513330,恒生互联网ETF,0.484,-0.012,-2.419,0.484,0.485,0.496,0.492,0.495,0.484,4614356500,2253799697
sh511130,30年国债ETF博时,112.118,0.009,0.008,112.11,112.114,112.109,112.19,112.234,112.018,19830980,2223114455
sz159338,中证A500ETF,0.944,-0.007,-0.736,0.944,0.945,0.951,0.948,0.95,0.941,2232896584,2111651139
sz159352,中证A500ETF南方,0.994,-0.006,-0.6,0.993,0.994,1.0,0.998,0.999,0.989,2092339872,2079447760
sz159792,港股通互联网ETF,0.855,-0.021,-2.397,0.855,0.856,0.876,0.869,0.872,0.853,2140780369,1840688167
sh510050,上证50ETF,2.746,-0.014,-0.507,2.746,2.747,2.76,2.755,2.76,2.736,651201333,1788406622
sz159934,黄金ETF,7.51,0.088,1.186,7.509,7.51,7.422,7.54,7.579,7.493,233189350,1758230926
sh511060,5年地方债ETF,107.272,0.016,0.015,107.264,107.272,107.256,107.29,107.303,107.243,16100300,1726978371
sz159518,标普油气ETF,0.955,0.056,6.229,0.955,0.956,0.899,0.951,0.984,0.95,1749116701,1689749487
sz159506,恒生医疗ETF,1.323,-0.032,-2.362,1.322,1.323,1.355,1.358,1.386,1.308,1168519489,1563192528
sz159740,恒生科技ETF,0.697,-0.018,-2.517,0.696,0.697,0.715,0.709,0.709,0.695,2221629828,1556404877
sh513050,中概互联网ETF,1.37,-0.029,-2.073,1.37,1.371,1.399,1.39,1.393,1.369,1117899700,1542803272
sz159915,创业板ETF,2.02,-0.02,-0.98,2.02,2.021,2.04,2.033,2.042,2.015,730211530,1480102735
sh563800,中证A500ETF龙头,0.943,-0.005,-0.527,0.942,0.943,0.948,0.946,0.948,0.939,1554237329,1464672452
sz159816,0-4地债ETF,113.655,0.025,0.022,113.642,113.655,113.63,113.665,113.665,113.634,12427800,1412283776
sh520500,恒生创新药ETF,1.638,-0.049,-2.905,1.637,1.638,1.687,1.683,1.726,1.626,846756100,1407892908
