datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-26,0.95,0.963,0.969,0.95,165018,15818334.384,1.99,0.84,0.008,7.13
2025-03-27,0.967,1.01,1.014,0.957,1449429,145461269.162,5.92,4.88,0.047,62.65
2025-03-28,1.016,1.023,1.059,1.008,2581102,267491318.155,5.05,1.29,0.013,111.57
2025-03-31,1.038,1.016,1.044,1.003,766429,78616613.131,4.01,-0.68,-0.007,33.13
2025-04-01,1.026,1.076,1.092,1.026,1446743,155224434.11,6.5,5.91,0.06,62.54
2025-04-02,1.074,1.061,1.081,1.054,571625,61050696.293,2.51,-1.39,-0.015,24.71
2025-04-03,1.049,1.048,1.086,1.037,822223,87253697.299,4.62,-1.23,-0.013,35.54
2025-04-07,0.985,0.943,1.0,0.943,161661,15485712.4,5.44,-10.02,-0.105,6.99
2025-04-08,0.9,0.877,0.943,0.851,1083488,95244767.242,9.76,-7.0,-0.066,46.84
2025-04-09,0.834,0.879,0.892,0.818,932096,80574029.565,8.44,0.23,0.002,40.29
2025-04-10,0.917,0.918,0.947,0.913,850641,79160583.961,3.87,4.44,0.039,36.77
2025-04-11,0.913,0.949,0.956,0.908,1019765,95640710.486,5.23,3.38,0.031,44.08
2025-04-14,0.978,0.994,1.002,0.965,771281,76589100.362,3.9,4.74,0.045,33.34
2025-04-15,1.002,0.986,1.017,0.982,535409,53257070.337,3.52,-0.8,-0.008,23.14
2025-04-16,0.985,0.957,0.985,0.942,484343,46547635.679,4.36,-2.94,-0.029,20.94
2025-04-17,0.949,0.954,0.968,0.946,553898,53156710.632,2.3,-0.31,-0.003,23.94
2025-04-18,0.951,0.955,0.964,0.951,125028,11963410.874,1.36,0.1,0.001,5.4
2025-04-21,0.956,0.966,0.966,0.955,140660,13519712.541,1.15,1.15,0.011,6.08
2025-04-22,0.981,1.021,1.03,0.97,3757177,380654621.149,6.21,5.69,0.055,162.41
2025-04-23,1.045,1.037,1.07,1.036,1565537,164325241.821,3.33,1.57,0.016,67.67
2025-04-24,1.043,1.053,1.075,1.041,1483752,157369558.063,3.28,1.54,0.016,64.14
2025-04-25,1.073,1.058,1.088,1.055,942217,100539604.897,3.13,0.47,0.005,40.73
2025-04-28,1.045,1.032,1.047,1.013,1049939,108360291.556,3.21,-2.46,-0.026,45.39
2025-04-29,1.043,1.04,1.058,1.038,842723,88268994.872,1.94,0.78,0.008,36.43
2025-04-30,1.051,1.044,1.058,1.034,679386,70985967.279,2.31,0.38,0.004,29.37
2025-05-06,1.058,1.043,1.068,1.04,686193,72061610.345,2.68,-0.1,-0.001,29.66
2025-05-07,1.045,1.006,1.052,1.002,894956,91360274.076,4.79,-3.55,-0.037,38.69
2025-05-08,1.006,1.004,1.017,0.999,436945,43936590.439,1.79,-0.2,-0.002,18.89
2025-05-09,1.01,1.013,1.02,1.006,538212,54535917.973,1.39,0.9,0.009,23.27
2025-05-12,0.999,0.974,1.01,0.971,840608,82445723.516,3.85,-3.85,-0.039,36.34
2025-05-13,0.993,0.985,0.999,0.979,401099,39555207.879,2.05,1.13,0.011,17.34
2025-05-14,0.985,0.988,0.993,0.98,450665,44436727.914,1.32,0.3,0.003,19.48
2025-05-15,0.982,0.986,0.994,0.982,538498,53247104.545,1.21,-0.2,-0.002,23.28
2025-05-16,0.985,1.003,1.016,0.985,573253,57379041.43,3.14,1.72,0.017,24.78
2025-05-19,1.003,1.017,1.02,1.003,739123,74961821.721,1.69,1.4,0.014,31.95
2025-05-20,1.043,1.067,1.072,1.043,1114444,118364549.499,2.85,4.92,0.05,48.17
2025-05-21,1.066,1.086,1.096,1.06,811964,88088093.958,3.37,1.78,0.019,35.1
2025-05-22,1.079,1.074,1.088,1.071,626309,67535940.736,1.57,-1.1,-0.012,27.07
2025-05-23,1.092,1.083,1.109,1.078,1779227,195095640.933,2.89,0.84,0.009,76.91
2025-05-26,1.097,1.058,1.1,1.054,855412,92003332.924,4.25,-2.31,-0.025,36.98
2025-05-27,1.053,1.088,1.096,1.053,1099648,119046539.054,4.06,2.84,0.03,47.53
2025-05-28,1.093,1.084,1.095,1.077,462767,50118586.4,1.65,-0.37,-0.004,20.0
2025-05-29,1.087,1.128,1.128,1.08,1396732,154703101.408,4.43,4.06,0.044,60.38
2025-05-30,1.14,1.129,1.149,1.126,1486880,169065733.156,2.04,0.09,0.001,64.27
2025-06-03,1.126,1.144,1.149,1.124,1223078,138706496.348,2.21,1.33,0.015,52.87
2025-06-04,1.159,1.188,1.201,1.152,1993487,236542654.721,4.28,3.85,0.044,86.17
2025-06-05,1.199,1.172,1.212,1.157,1638845,194301773.082,4.63,-1.35,-0.016,70.84
2025-06-06,1.177,1.202,1.202,1.162,1775249,209497341.265,3.41,2.56,0.03,76.74
2025-06-09,1.21,1.251,1.264,1.191,2702376,335150076.696,6.07,4.08,0.049,116.82
2025-06-10,1.26,1.302,1.316,1.253,4465938,576035652.837,5.04,4.08,0.051,193.05
2025-06-11,1.305,1.291,1.328,1.278,3732136,484284811.917,3.84,-0.84,-0.011,161.33
2025-06-12,1.285,1.347,1.353,1.285,3774897,501985140.627,5.27,4.34,0.056,163.18
2025-06-13,1.349,1.32,1.382,1.306,3324364,444523141.892,5.64,-2.0,-0.027,143.7
